=== 模擬器啟動時間: 2026-05-30 15:56:38 ===
[2026-05-30 15:56:40] ============================================================
[2026-05-30 15:56:40] 🎯 iPhone GPS 模擬器 v17.0 - 模組化重構版 (完整版)
[2026-05-30 15:56:40] ============================================================
[2026-05-30 15:56:40] ✅ 修復：阻絕競態條件造成的橡皮筋拉回現象
[2026-05-30 15:56:40] 💡 請按 F12 打開瀏覽器控制台查看詳細日誌
[2026-05-30 15:56:40] ⚡ 開始自動連線流程 (等待 tunneld 就緒...)
[2026-05-30 15:56:41] 🧹 已清除占用 49151 端口的舊進程 (PID: 13396)
[2026-05-30 15:56:42] 🚀 啟動 tunneld...
[2026-05-30 15:56:42] 🌐 地圖已自動開啟
[2026-05-30 15:56:42] ✅ tunneld 已啟動
[2026-05-30 15:56:45] 🗖 地圖視窗已最大化
[2026-05-30 15:56:45] 📱 手勢循環已停止
[2026-05-30 15:56:49] 🧭 路線點: 117 個，途經點: 115 個
[2026-05-30 15:56:55] [tunneld] [32m2026-05-30 15:56:55[0m [35mHA1MIS-HNB0516[0m [34mpymobiledevice3.tunneld.server[20316][0m [1;30mINFO[0m [start-tunnel-task-usbmux-00008030-000E602401E8802E-USB] Created tunnel --rsd fd15:12bc:985e::1 62413
[2026-05-30 15:56:55] ✅ RSD: fd15:12bc:985e::1:62413
[2026-05-30 15:56:55] ⚡ tunneld 已就緒，準備進行下一步...
[2026-05-30 15:56:55] ℹ WiFi 模式略過 DDI 掛載，直接偵測 RSD
[2026-05-30 15:56:55] ℹ RSD 已填入: fd15:12bc:985e::1:62413
[2026-05-30 15:56:55] ✅ 自動連線與偵測全部完成！
[2026-05-30 15:57:02] 🧭 路線點: 118 個，途經點: 116 個
[2026-05-30 15:57:08] 🚀 準備從路線點 61 開始模擬...
[2026-05-30 15:57:12] 📏 總距離: 30810m
[2026-05-30 15:57:12] 🚀 開始模擬
[2026-05-30 15:57:13] [1] 1.258519,103.817910 29% 20.0km/h (62/117)
[2026-05-30 15:57:16] [2] 1.258561,103.817766 29% 20.0km/h (62/117)
[2026-05-30 15:57:19] [3] 1.258604,103.817623 29% 20.0km/h (62/117)
[2026-05-30 15:57:22] [4] 1.258646,103.817479 29% 20.0km/h (62/117)
[2026-05-30 15:57:25] [5] 1.258688,103.817335 30% 20.0km/h (62/117)
[2026-05-30 15:57:27] 📱 手勢循環啟用，間隔 0.50 秒
[2026-05-30 15:57:28] [6] 1.258730,103.817191 30% 20.0km/h (62/117)
[2026-05-30 15:57:32] [7] 1.258772,103.817047 30% 20.0km/h (62/117)
[2026-05-30 15:57:35] [8] 1.258814,103.816903 30% 20.0km/h (62/117)
[2026-05-30 15:57:38] [9] 1.258856,103.816759 30% 20.0km/h (62/117)
[2026-05-30 15:57:41] [10] 1.258898,103.816615 30% 20.0km/h (62/117)
[2026-05-30 15:57:44] [11] 1.258941,103.816472 30% 20.0km/h (62/117)
[2026-05-30 15:57:47] [12] 1.258983,103.816328 30% 20.0km/h (62/117)
[2026-05-30 15:57:50] [13] 1.259025,103.816184 30% 20.0km/h (62/117)
[2026-05-30 15:57:53] [14] 1.259067,103.816040 30% 20.0km/h (62/117)
[2026-05-30 15:57:56] [15] 1.259099,103.815930 30% 20.0km/h (62/117)
[2026-05-30 15:57:59] [16] 1.259032,103.816064 30% 20.0km/h (63/117)
[2026-05-30 15:58:03] [17] 1.258964,103.816198 30% 20.0km/h (63/117)
[2026-05-30 15:58:06] [18] 1.258897,103.816332 30% 20.0km/h (63/117)
[2026-05-30 15:58:09] [19] 1.258830,103.816466 30% 20.0km/h (63/117)
[2026-05-30 15:58:12] [20] 1.258762,103.816599 30% 20.0km/h (63/117)
[2026-05-30 15:58:15] [21] 1.258695,103.816733 30% 20.0km/h (63/117)
[2026-05-30 15:58:18] [22] 1.258628,103.816867 30% 20.0km/h (63/117)
[2026-05-30 15:58:21] [23] 1.258560,103.817001 30% 20.0km/h (63/117)
[2026-05-30 15:58:24] [24] 1.258493,103.817135 31% 20.0km/h (63/117)
[2026-05-30 15:58:27] [25] 1.258425,103.817269 31% 20.0km/h (63/117)
[2026-05-30 15:58:30] [26] 1.258358,103.817403 31% 20.0km/h (63/117)
[2026-05-30 15:58:34] [27] 1.258291,103.817537 31% 20.0km/h (63/117)
[2026-05-30 15:58:37] [28] 1.258223,103.817671 31% 20.0km/h (63/117)
[2026-05-30 15:58:40] [29] 1.258156,103.817805 31% 20.0km/h (63/117)
[2026-05-30 15:58:43] [30] 1.258088,103.817939 31% 20.0km/h (63/117)
[2026-05-30 15:58:46] [31] 1.258021,103.818073 31% 20.0km/h (63/117)
[2026-05-30 15:58:49] [32] 1.257954,103.818207 31% 20.0km/h (63/117)
[2026-05-30 15:58:52] [33] 1.257886,103.818340 31% 20.0km/h (63/117)
[2026-05-30 15:58:55] [34] 1.257819,103.818474 31% 20.0km/h (63/117)
[2026-05-30 15:58:58] [35] 1.257752,103.818608 31% 20.0km/h (63/117)
[2026-05-30 15:59:01] [36] 1.257684,103.818742 31% 20.0km/h (63/117)
[2026-05-30 15:59:05] [37] 1.257617,103.818876 31% 20.0km/h (63/117)
[2026-05-30 15:59:08] [38] 1.257549,103.819010 31% 20.0km/h (63/117)
[2026-05-30 15:59:11] [39] 1.257482,103.819144 31% 20.0km/h (63/117)
[2026-05-30 15:59:14] [40] 1.257415,103.819278 31% 20.0km/h (63/117)
[2026-05-30 15:59:17] [41] 1.257347,103.819412 31% 20.0km/h (63/117)
[2026-05-30 15:59:20] [42] 1.257280,103.819546 31% 20.0km/h (63/117)
[2026-05-30 15:59:23] [43] 1.257213,103.819680 32% 20.0km/h (63/117)
[2026-05-30 15:59:26] [44] 1.257145,103.819814 32% 20.0km/h (63/117)
[2026-05-30 15:59:29] [45] 1.257078,103.819947 32% 20.0km/h (63/117)
[2026-05-30 15:59:32] [46] 1.257010,103.820081 32% 20.0km/h (63/117)
[2026-05-30 15:59:36] [47] 1.256943,103.820215 32% 20.0km/h (63/117)
[2026-05-30 15:59:39] [48] 1.256876,103.820349 32% 20.0km/h (63/117)
[2026-05-30 15:59:42] [49] 1.256808,103.820483 32% 20.0km/h (63/117)
[2026-05-30 15:59:45] [50] 1.256741,103.820617 32% 20.0km/h (63/117)
[2026-05-30 15:59:48] [51] 1.256673,103.820751 32% 20.0km/h (63/117)
[2026-05-30 15:59:51] [52] 1.256606,103.820885 32% 20.0km/h (63/117)
[2026-05-30 15:59:54] [53] 1.256539,103.821019 32% 20.0km/h (63/117)
[2026-05-30 15:59:57] [54] 1.256471,103.821153 32% 20.0km/h (63/117)
[2026-05-30 16:00:01] [55] 1.256404,103.821287 32% 20.0km/h (63/117)
[2026-05-30 16:00:04] [56] 1.256337,103.821421 32% 20.0km/h (63/117)
[2026-05-30 16:00:07] [57] 1.256269,103.821554 32% 20.0km/h (63/117)
[2026-05-30 16:00:10] [58] 1.256202,103.821688 32% 20.0km/h (63/117)
[2026-05-30 16:00:13] [59] 1.256134,103.821822 32% 20.0km/h (63/117)
[2026-05-30 16:00:16] [60] 1.256067,103.821956 32% 20.0km/h (63/117)
